basin_name,wikipedia_link
Grande Riviere De La Baleine,https://fr.wikipedia.org/wiki/Grande_rivi%C3%A8re_de_la_Baleine
Grande Riviere,https://fr.wikipedia.org/wiki/La_Grande_Rivi%C3%A8re
Winisk,https://fr.wikipedia.org/wiki/Rivi%C3%A8re_Winisk
Churchill. Fleuve (Labrador),https://fr.wikipedia.org/wiki/Fleuve_Churchill
Dniepr,https://fr.wikipedia.org/wiki/Dniepr
Ural,https://fr.wikipedia.org/wiki/Oural_(fleuve)
Wisla,https://fr.wikipedia.org/wiki/Vistule
Don,https://fr.wikipedia.org/wiki/Don_(fleuve)
Oder,https://fr.wikipedia.org/wiki/Oder
Elbe,https://fr.wikipedia.org/wiki/Elbe_(fleuve)
Trent,https://fr.wikipedia.org/wiki/Trent_(fleuve)
Weser,https://fr.wikipedia.org/wiki/Weser
Attawapiskat,https://fr.wikipedia.org/wiki/Attawapiskat
Eastmain,https://fr.wikipedia.org/wiki/Rivi%C3%A8re_Eastmain
Manicouagan (Riviere),https://fr.wikipedia.org/wiki/Rivi%C3%A8re_Manicouagan
Columbia,https://fr.wikipedia.org/wiki/Columbia_(fleuve)
Little Mecatina,https://fr.wikipedia.org/wiki/Rivi%C3%A8re_du_Petit_M%C3%A9catina
Natashquan (Riviere),"https://fr.wikipedia.org/wiki/Rivi%C3%A8re_Natashquan#:~:text=Elle%20coule%20vers%20le%20sud,'Est%20de%20Sept%2D%C3%8Eles."
Rhine,https://fr.wikipedia.org/wiki/Rhin
Albany,https://fr.wikipedia.org/wiki/Albany_(fleuve)
Saguenay (Riviere),https://fr.wikipedia.org/wiki/Rivi%C3%A8re_Saguenay
Thames,https://fr.wikipedia.org/wiki/Tamise
Nottaway,https://fr.wikipedia.org/wiki/Rivi%C3%A8re_Nottaway
Rupert,https://fr.wikipedia.org/wiki/Rivi%C3%A8re_Rupert
Moose(Trib. Hudson Bay),https://fr.wikipedia.org/wiki/Rivi%C3%A8re_Moose_(Ontario)
St.Lawrence,https://fr.wikipedia.org/wiki/Fleuve_Saint-Laurent
Danube,https://fr.wikipedia.org/wiki/Danube
Seine,https://fr.wikipedia.org/wiki/Seine_(fleuve)
Dniestr,https://fr.wikipedia.org/wiki/Dniestr
Southern Bug,https://fr.wikipedia.org/wiki/Boug_m%C3%A9ridional
Mississippi,https://fr.wikipedia.org/wiki/Mississippi_(fleuve)
Skagit,https://fr.wikipedia.org/wiki/Skagit_(fleuve)
Aral Drainage,https://fr.wikipedia.org/wiki/Mer_d%27Aral
Loire,https://fr.wikipedia.org/wiki/Loire_(fleuve)
Rhone,https://fr.wikipedia.org/wiki/Rh%C3%B4ne
Saint John,https://fr.wikipedia.org/wiki/Saint_Johns_(fleuve)
Po,https://fr.wikipedia.org/wiki/P%C3%B4
Penobscot,https://fr.wikipedia.org/wiki/Penobscot_(fleuve)
St.Croix,https://fr.wikipedia.org/wiki/Fleuve_Sainte-Croix
Kuban,https://fr.wikipedia.org/wiki/Kouban_(fleuve)
Connecticut,https://fr.wikipedia.org/wiki/Connecticut_(fleuve)
Liao He,https://fr.wikipedia.org/wiki/Liao
Garonne,https://fr.wikipedia.org/wiki/Garonne_(fleuve)
Ishikari,https://fr.wikipedia.org/wiki/Ishikari-gawa
Merrimack,https://fr.wikipedia.org/wiki/Merrimack_(fleuve)
Hudson,https://fr.wikipedia.org/wiki/Hudson_(fleuve)
Colorado(Pacific Ocean),https://fr.wikipedia.org/wiki/Colorado_(fleuve)
Klamath,https://fr.wikipedia.org/wiki/Klamath_(fleuve)
Ebro,https://fr.wikipedia.org/wiki/%C3%88bre
Rogue,https://fr.wikipedia.org/wiki/Rogue_(fleuve)
Douro,https://fr.wikipedia.org/wiki/Douro
Susquehanna,https://fr.wikipedia.org/wiki/Susquehanna_(fleuve)
Luan He,https://fr.wikipedia.org/wiki/Luan_He
Kura,https://fr.wikipedia.org/wiki/Koura_(fleuve)
Dalinghe,https://fr.wikipedia.org/wiki/Darling_(rivi%C3%A8re)
Delaware,https://fr.wikipedia.org/wiki/Delaware_(fleuve)
Sacramento,https://fr.wikipedia.org/wiki/Sacramento_(fleuve)
Huang He (Yellow River),https://fr.wikipedia.org/wiki/Fleuve_Jaune
Kizilirmak,https://fr.wikipedia.org/wiki/K%C4%B1z%C4%B1l%C4%B1rmak_(fleuve)
Yongding He,https://fr.wikipedia.org/wiki/Yongding_(rivi%C3%A8re)
Tejo,https://fr.wikipedia.org/wiki/Rio_Tejo
Sakarya,https://fr.wikipedia.org/wiki/Sakarya_(fleuve)
Eel (Calif.),https://en.wikipedia.org/wiki/Eel_River_(California)
Tigris & Euphrates,https://en.wikipedia.org/wiki/Tigris%E2%80%93Euphrates_river_system
Potomac,https://en.wikipedia.org/wiki/Potomac_River
Guadiana,https://en.wikipedia.org/wiki/Guadiana
Kitakami,https://en.wikipedia.org/wiki/Kitakami_River
Mogami,https://en.wikipedia.org/wiki/Mogami_River
Han-Gang (Han River),https://en.wikipedia.org/wiki/Han_River_(Korea)
Guadalquivir,https://en.wikipedia.org/wiki/Guadalquivir
San Joaquin,https://en.wikipedia.org/wiki/San_Joaquin_River
James,https://en.wikipedia.org/wiki/James_River
Bravo,https://en.wikipedia.org/wiki/Rio_Grande
Shinano. Chikuma,https://en.wikipedia.org/wiki/Shinano_River
Roanoke,https://en.wikipedia.org/wiki/Roanoke_River
Naktong,https://en.wikipedia.org/wiki/Nakdong_River
Indus,https://en.wikipedia.org/wiki/Indus_River
Tone,https://en.wikipedia.org/wiki/Tone_River
Salinas,https://en.wikipedia.org/wiki/Salinas_River_(California)
Pee Dee,https://en.wikipedia.org/wiki/Pee_Dee_River
Chelif,https://en.wikipedia.org/wiki/Chelif_River
Cape Fear,https://en.wikipedia.org/wiki/Cape_Fear_River
Tenryu,https://en.wikipedia.org/wiki/Tenry%C5%AB_River
Santee,https://en.wikipedia.org/wiki/Santee_River
Kiso,https://en.wikipedia.org/wiki/Kiso_River
Yangtze(Chang Jiang),https://en.wikipedia.org/wiki/Yangtze
Yodo,https://en.wikipedia.org/wiki/Yodo_River
Sebou,https://en.wikipedia.org/wiki/Sebou_River
Alabama River & Tombigbee,https://en.wikipedia.org/wiki/Alabama_River
Savannah,https://en.wikipedia.org/wiki/Savannah_River
Gono (Go),https://en.wikipedia.org/wiki/G%C5%8D_River
Huai He,https://en.wikipedia.org/wiki/Huai_River
Apalachicola,https://en.wikipedia.org/wiki/Apalachicola_River
Brazos,https://en.wikipedia.org/wiki/Brazos_River
Altamaha,https://en.wikipedia.org/wiki/Altamaha_River
Mekong,https://en.wikipedia.org/wiki/Mekong
Colorado(Caribbean Sea),https://en.wikipedia.org/wiki/Colorado_River_(Texas)
Trinity(Texas),https://en.wikipedia.org/wiki/Trinity_River_(Texas)
Pearl,https://en.wikipedia.org/wiki/Pearl_River_(Mississippi%E2%80%93Louisiana)
Sabine,https://en.wikipedia.org/wiki/Sabine_River_(Texas%E2%80%93Louisiana)
Suwannee,https://en.wikipedia.org/wiki/Suwannee_River
Yaqui,https://en.wikipedia.org/wiki/Yaqui_River
Nile,https://en.wikipedia.org/wiki/Nile
Brahmaputra,https://en.wikipedia.org/wiki/Brahmaputra_River
St.Johns,https://en.wikipedia.org/wiki/St._Johns_River
Nueces,https://en.wikipedia.org/wiki/Nueces_River
San Antonio,https://en.wikipedia.org/wiki/San_Antonio_River_(Texas)
Irrawaddy,https://en.wikipedia.org/wiki/Irrawaddy_River
Fuerte,https://en.wikipedia.org/wiki/Fuerte_River
Xi Jiang,https://en.wikipedia.org/wiki/Xi_River
Bei Jiang,https://en.wikipedia.org/wiki/Bei_River
San Pedro,https://en.wikipedia.org/wiki/San_Pedro_River_(Mexico)
Dong Jiang,https://en.wikipedia.org/wiki/Dong_River_(China)
Mahi,https://en.wikipedia.org/wiki/Mahi_River
Damodar,https://en.wikipedia.org/wiki/Damodar_River
Niger,https://en.wikipedia.org/wiki/Niger_River
Narmada,https://en.wikipedia.org/wiki/Narmada_River
Brahmani River (Bhahmani),https://en.wikipedia.org/wiki/Brahmani_River
Mahanadi(Mahahadi),https://en.wikipedia.org/wiki/Mahanadi
Santiago,https://en.wikipedia.org/wiki/Santiago_River_(Mexico)
Panuco,https://en.wikipedia.org/wiki/P%C3%A1nuco_River
Godavari,https://en.wikipedia.org/wiki/Godavari_River
Tapti,https://en.wikipedia.org/wiki/Tapti_River
Sittang,https://en.wikipedia.org/wiki/Sittaung_River
